filename,prompt,negative_prompt
01-orea-v4-narrow-front-logo.webp,"Create exactly ONE image. Do not create a collage. Do not create a grid. Do not show multiple variations. One single product photograph only. Hyperrealistic premium studio product photography, seamless infinite pure white background, mobile app asset, exact size 1200 x 1600 pixels, vertical portrait format, WebP or optimized JPG output, sharp focus, soft diffused studio lighting, subtle realistic contact shadow, realistic materials, clean edges, no table, no kitchen, no lifestyle background, no hands unless explicitly requested, no watermark. Matte black Orea V4 Narrow style coffee dripper, front view, narrow conical pour-over brewer, slightly flared top rim, dark interior, modular lower section, thin wavy stainless steel support base visible beneath it. Add the Zeri’s Coffee Roaster circular logo in white as a subtle screen-printed mark on the front surface of the black brewer, following the curvature of the material, realistic serigraphy, not a sticker.","collage, grid, multiple images in one frame, contact sheet, variations sheet, six images, multiple products unless explicitly requested, flat vector, cartoon, illustration, infographic, app mockup, CGI render look, plastic toy, fake product, distorted geometry, wrong proportions, extra objects, kitchen background, wooden table, marble surface, grey background, colored background, strong shadow, dirty surface, text overlay, watermark, blurry, low resolution, duplicated object, deformed circles, unreadable typography, misspelled logo"
02-orea-v4-narrow-three-quarter-logo.webp,"Create exactly ONE image. Do not create a collage. Do not create a grid. Do not show multiple variations. One single product photograph only. Hyperrealistic premium studio product photography, seamless infinite pure white background, mobile app asset, exact size 1200 x 1600 pixels, vertical portrait format, WebP or optimized JPG output, sharp focus, soft diffused studio lighting, subtle realistic contact shadow, realistic materials, clean edges, no table, no kitchen, no lifestyle background, no hands unless explicitly requested, no watermark. Matte black Orea V4 Narrow style coffee dripper, three-quarter angle view, narrow conical body, slightly flared upper rim, dark interior, modular bottom section, thin wavy stainless steel support base visible. Add a small white Zeri’s Coffee Roaster circular logo as realistic screen printing on the visible front side of the brewer, subtle and integrated into the matte texture.","collage, grid, multiple images in one frame, contact sheet, variations sheet, six images, multiple products unless explicitly requested, flat vector, cartoon, illustration, infographic, app mockup, CGI render look, plastic toy, fake product, distorted geometry, wrong proportions, extra objects, kitchen background, wooden table, marble surface, grey background, colored background, strong shadow, dirty surface, text overlay, watermark, blurry, low resolution, duplicated object, deformed circles, unreadable typography, misspelled logo"
03-orea-v4-narrow-top-view.webp,"Create exactly ONE image. Do not create a collage. Do not create a grid. Do not show multiple variations. One single product photograph only. Hyperrealistic premium studio product photography, seamless infinite pure white background, mobile app asset, exact size 1200 x 1600 pixels, vertical portrait format, WebP or optimized JPG output, sharp focus, soft diffused studio lighting, subtle realistic contact shadow, realistic materials, clean edges, no table, no kitchen, no lifestyle background, no hands unless explicitly requested, no watermark. Top-down view of an Orea V4 Narrow style matte black coffee dripper, circular upper rim, narrow conical interior visible, modular bottom detail visible through the center, thin wavy stainless steel support base partly visible around the brewer. No logo visible from this angle.","collage, grid, multiple images in one frame, contact sheet, variations sheet, six images, multiple products unless explicitly requested, flat vector, cartoon, illustration, infographic, app mockup, CGI render look, plastic toy, fake product, distorted geometry, wrong proportions, extra objects, kitchen background, wooden table, marble surface, grey background, colored background, strong shadow, dirty surface, text overlay, watermark, blurry, low resolution, duplicated object, deformed circles, unreadable typography, misspelled logo"
04-orea-v4-narrow-tilted-logo.webp,"Create exactly ONE image. Do not create a collage. Do not create a grid. Do not show multiple variations. One single product photograph only. Hyperrealistic premium studio product photography, seamless infinite pure white background, mobile app asset, exact size 1200 x 1600 pixels, vertical portrait format, WebP or optimized JPG output, sharp focus, soft diffused studio lighting, subtle realistic contact shadow, realistic materials, clean edges, no table, no kitchen, no lifestyle background, no hands unless explicitly requested, no watermark. Orea V4 Narrow style matte black coffee brewer slightly tilted to reveal its narrow conical interior and modular bottom structure, thin wavy stainless steel support base visible. Add the Zeri’s Coffee Roaster circular logo in white as subtle realistic serigraphy on the visible black front surface, following the curvature of the brewer.","collage, grid, multiple images in one frame, contact sheet, variations sheet, six images, multiple products unless explicitly requested, flat vector, cartoon, illustration, infographic, app mockup, CGI render look, plastic toy, fake product, distorted geometry, wrong proportions, extra objects, kitchen background, wooden table, marble surface, grey background, colored background, strong shadow, dirty surface, text overlay, watermark, blurry, low resolution, duplicated object, deformed circles, unreadable typography, misspelled logo"
05-orea-v4-narrow-steel-base-logo.webp,"Create exactly ONE image. Do not create a collage. Do not create a grid. Do not show multiple variations. One single product photograph only. Hyperrealistic premium studio product photography, seamless infinite pure white background, mobile app asset, exact size 1200 x 1600 pixels, vertical portrait format, WebP or optimized JPG output, sharp focus, soft diffused studio lighting, subtle realistic contact shadow, realistic materials, clean edges, no table, no kitchen, no lifestyle background, no hands unless explicitly requested, no watermark. Orea V4 Narrow style matte black coffee dripper with a thin wavy stainless steel support base clearly visible beneath it, front three-quarter angle, narrow conical brewer body, compact modular bottom. Add a small white Zeri’s Coffee Roaster circular logo as screen-printed branding on the black brewer surface, realistic and subtle.","collage, grid, multiple images in one frame, contact sheet, variations sheet, six images, multiple products unless explicitly requested, flat vector, cartoon, illustration, infographic, app mockup, CGI render look, plastic toy, fake product, distorted geometry, wrong proportions, extra objects, kitchen background, wooden table, marble surface, grey background, colored background, strong shadow, dirty surface, text overlay, watermark, blurry, low resolution, duplicated object, deformed circles, unreadable typography, misspelled logo"
06-orea-v4-narrow-white-filter-logo.webp,"Create exactly ONE image. Do not create a collage. Do not create a grid. Do not show multiple variations. One single product photograph only. Hyperrealistic premium studio product photography, seamless infinite pure white background, mobile app asset, exact size 1200 x 1600 pixels, vertical portrait format, WebP or optimized JPG output, sharp focus, soft diffused studio lighting, subtle realistic contact shadow, realistic materials, clean edges, no table, no kitchen, no lifestyle background, no hands unless explicitly requested, no watermark. Orea V4 Narrow style matte black coffee dripper with a clean white paper filter placed inside, filter neatly fitted to the narrow conical shape, thin wavy stainless steel support base visible. Add a small white Zeri’s Coffee Roaster circular logo printed on the front of the brewer, subtle serigraphy integrated into the matte black surface.","collage, grid, multiple images in one frame, contact sheet, variations sheet, six images, multiple products unless explicitly requested, flat vector, cartoon, illustration, infographic, app mockup, CGI render look, plastic toy, fake product, distorted geometry, wrong proportions, extra objects, kitchen background, wooden table, marble surface, grey background, colored background, strong shadow, dirty surface, text overlay, watermark, blurry, low resolution, duplicated object, deformed circles, unreadable typography, misspelled logo"
07-orea-v4-narrow-wave-filter-logo.webp,"Create exactly ONE image. Do not create a collage. Do not create a grid. Do not show multiple variations. One single product photograph only. Hyperrealistic premium studio product photography, seamless infinite pure white background, mobile app asset, exact size 1200 x 1600 pixels, vertical portrait format, WebP or optimized JPG output, sharp focus, soft diffused studio lighting, subtle realistic contact shadow, realistic materials, clean edges, no table, no kitchen, no lifestyle background, no hands unless explicitly requested, no watermark. Orea V4 Narrow style matte black coffee dripper with a white wave paper filter inside, visible pleated filter walls, narrow conical brewer geometry, compact black body, thin wavy stainless steel base visible. Add a small white Zeri’s Coffee Roaster circular logo as realistic screen printing on the front of the brewer.","collage, grid, multiple images in one frame, contact sheet, variations sheet, six images, multiple products unless explicitly requested, flat vector, cartoon, illustration, infographic, app mockup, CGI render look, plastic toy, fake product, distorted geometry, wrong proportions, extra objects, kitchen background, wooden table, marble surface, grey background, colored background, strong shadow, dirty surface, text overlay, watermark, blurry, low resolution, duplicated object, deformed circles, unreadable typography, misspelled logo"
08-orea-v4-narrow-ground-coffee-logo.webp,"Create exactly ONE image. Do not create a collage. Do not create a grid. Do not show multiple variations. One single product photograph only. Hyperrealistic premium studio product photography, seamless infinite pure white background, mobile app asset, exact size 1200 x 1600 pixels, vertical portrait format, WebP or optimized JPG output, sharp focus, soft diffused studio lighting, subtle realistic contact shadow, realistic materials, clean edges, no table, no kitchen, no lifestyle background, no hands unless explicitly requested, no watermark. Orea V4 Narrow style matte black coffee dripper with a white paper filter and an even bed of medium-ground specialty coffee inside. The coffee bed is flat, clean and realistic. Add a small white Zeri’s Coffee Roaster circular logo as subtle screen printing on the black front surface of the brewer.","collage, grid, multiple images in one frame, contact sheet, variations sheet, six images, multiple products unless explicitly requested, flat vector, cartoon, illustration, infographic, app mockup, CGI render look, plastic toy, fake product, distorted geometry, wrong proportions, extra objects, kitchen background, wooden table, marble surface, grey background, colored background, strong shadow, dirty surface, text overlay, watermark, blurry, low resolution, duplicated object, deformed circles, unreadable typography, misspelled logo"
09-orea-v4-narrow-on-glass-server-logo.webp,"Create exactly ONE image. Do not create a collage. Do not create a grid. Do not show multiple variations. One single product photograph only. Hyperrealistic premium studio product photography, seamless infinite pure white background, mobile app asset, exact size 1200 x 1600 pixels, vertical portrait format, WebP or optimized JPG output, sharp focus, soft diffused studio lighting, subtle realistic contact shadow, realistic materials, clean edges, no table, no kitchen, no lifestyle background, no hands unless explicitly requested, no watermark. Orea V4 Narrow style matte black coffee dripper placed on a clear glass coffee server, thin wavy stainless steel support base visible between brewer and server. Add a small white Zeri’s Coffee Roaster circular logo printed on the black brewer surface. Transparent glass with realistic reflections.","collage, grid, multiple images in one frame, contact sheet, variations sheet, six images, multiple products unless explicitly requested, flat vector, cartoon, illustration, infographic, app mockup, CGI render look, plastic toy, fake product, distorted geometry, wrong proportions, extra objects, kitchen background, wooden table, marble surface, grey background, colored background, strong shadow, dirty surface, text overlay, watermark, blurry, low resolution, duplicated object, deformed circles, unreadable typography, misspelled logo"
10-orea-v4-narrow-modular-parts-logo.webp,"Create exactly ONE image. Do not create a collage. Do not create a grid. Do not show multiple variations. One single product photograph only. Hyperrealistic premium studio product photography, seamless infinite pure white background, mobile app asset, exact size 1200 x 1600 pixels, vertical portrait format, WebP or optimized JPG output, sharp focus, soft diffused studio lighting, subtle realistic contact shadow, realistic materials, clean edges, no table, no kitchen, no lifestyle background, no hands unless explicitly requested, no watermark. Orea V4 Narrow style modular coffee brewer disassembled into clean components: matte black narrow conical dripper body with white Zeri’s Coffee Roaster circular logo printed on it, thin wavy stainless steel support base, and interchangeable black bottom insert pieces arranged neatly around it. One clean product composition, not a collage.","collage, grid, multiple images in one frame, contact sheet, variations sheet, six images, multiple products unless explicitly requested, flat vector, cartoon, illustration, infographic, app mockup, CGI render look, plastic toy, fake product, distorted geometry, wrong proportions, extra objects, kitchen background, wooden table, marble surface, grey background, colored background, strong shadow, dirty surface, text overlay, watermark, blurry, low resolution, duplicated object, deformed circles, unreadable typography, misspelled logo"
